epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5588,2.50553,5.55904,1.49025,0.00111,0.02867,0.00063,0.00016,2.20242,5.08565,1.41457,2.668e-05,2.668e-05,2.668e-05
2,28.7544,2.31336,5.24203,1.36825,0.00154,0.04516,0.00128,0.00053,2.16528,5.0474,1.34978,5.88414e-05,5.88414e-05,5.88414e-05
3,41.7595,2.40297,4.68639,1.34362,0.00793,0.23717,0.10199,0.04683,2.12823,4.91531,1.25106,8.96822e-05,8.96822e-05,8.96822e-05
4,55.1599,2.34943,4.00797,1.25559,0.01198,0.30097,0.14838,0.06036,2.1164,4.83205,1.2351,0.000119202,0.000119202,0.000119202
5,68.4677,2.44241,3.87235,1.23363,0.01349,0.31388,0.17347,0.07481,2.02011,4.71761,1.20823,0.000147402,0.000147402,0.000147402
6,81.8503,2.3668,3.56564,1.22293,0.01635,0.35545,0.17941,0.05976,2.01687,4.67618,1.19178,0.00017428,0.00017428,0.00017428
7,94.5062,2.17232,2.93406,1.1657,0.0176,0.37768,0.19832,0.08032,1.98393,4.53406,1.15504,0.000199839,0.000199839,0.000199839
8,106.869,2.27657,3.03151,1.20832,0.01767,0.43492,0.21752,0.0793,1.95795,4.377,1.11446,0.000224076,0.000224076,0.000224076
9,119.467,2.16029,2.92123,1.23731,0.01374,0.46984,0.21496,0.06938,1.94477,4.25848,1.09357,0.000246993,0.000246993,0.000246993
10,132.341,2.0148,2.65029,1.15573,0.01247,0.46984,0.23291,0.07879,1.90011,4.17416,1.06268,0.000268589,0.000268589,0.000268589
11,145.095,2.15734,2.8673,1.1905,0.01622,0.57778,0.24701,0.0892,1.87447,4.01543,1.05223,0.000288864,0.000288864,0.000288864
12,157.999,1.98106,2.41558,1.15241,0.01575,0.57778,0.24518,0.09268,1.83199,3.87342,1.07057,0.000307819,0.000307819,0.000307819
13,170.431,2.06528,2.53777,1.16684,0.01455,0.57778,0.24299,0.09128,1.7562,3.78009,1.06467,0.000325453,0.000325453,0.000325453
14,182.882,1.97751,2.30291,1.15412,0.02924,0.68182,0.26807,0.11575,1.67885,3.61777,1.04053,0.000341767,0.000341767,0.000341767
15,195.454,2.00439,2.36398,1.14791,0.02379,0.7,0.30188,0.12916,1.69629,3.37727,1.09864,0.00035676,0.00035676,0.00035676
16,208.016,1.9577,2.15678,1.14567,0.02452,0.75152,0.3185,0.14563,1.71267,3.22901,1.11783,0.000370432,0.000370432,0.000370432
17,220.181,1.79769,2.10957,1.11202,1,0.08853,0.37627,0.17834,1.62242,2.96296,1.09015,0.000382783,0.000382783,0.000382783
18,232.5,1.97146,2.24682,1.1874,1,0.10031,0.4074,0.19006,1.63611,2.91405,1.09768,0.000393814,0.000393814,0.000393814
19,244.888,1.84198,2.02987,1.14351,1,0.11601,0.44517,0.19349,1.64363,2.90708,1.1017,0.000403524,0.000403524,0.000403524
20,256.866,1.76369,2.1142,1.14713,0.99579,0.1187,0.43338,0.1919,1.66064,2.87999,1.1211,0.000411914,0.000411914,0.000411914
21,269.084,1.82235,2.28963,1.1493,0.95901,0.11825,0.45483,0.21335,1.62697,2.83201,1.09265,0.000402868,0.000402868,0.000402868
22,281.081,1.75744,2.06877,1.09233,0.76693,0.22706,0.48018,0.22981,1.63106,2.6867,1.08501,0.000389661,0.000389661,0.000389661
23,293.297,1.82329,2.00874,1.10579,0.79242,0.27493,0.49051,0.22008,1.71073,2.55556,1.1265,0.000376455,0.000376455,0.000376455
24,305.707,1.81246,1.93158,1.09898,0.72247,0.3788,0.4971,0.24794,1.61986,2.38976,1.12227,0.000363248,0.000363248,0.000363248
25,317.933,1.75564,2.00885,1.11067,0.64932,0.39099,0.50975,0.25522,1.60147,2.39436,1.13107,0.000350042,0.000350042,0.000350042
26,330.048,1.71779,1.95617,1.10489,0.6868,0.39533,0.51277,0.25704,1.58502,2.3462,1.1293,0.000336835,0.000336835,0.000336835
27,342.167,1.77912,1.91626,1.13822,0.49473,0.38268,0.52661,0.27306,1.55625,2.26157,1.1142,0.000323628,0.000323628,0.000323628
28,354.369,1.70501,1.96247,1.09369,0.52913,0.46168,0.54042,0.26626,1.52004,2.03537,1.06984,0.000310422,0.000310422,0.000310422
29,366.382,1.73926,1.85787,1.0963,0.67512,0.46527,0.54182,0.25113,1.56189,1.9069,1.0772,0.000297215,0.000297215,0.000297215
30,378.132,1.64628,1.75481,1.06101,0.73064,0.46527,0.55809,0.25542,1.61314,1.81174,1.09147,0.000284009,0.000284009,0.000284009
31,390.016,1.63447,1.8339,1.09164,0.62339,0.52719,0.56401,0.26692,1.64791,1.75036,1.10107,0.000270802,0.000270802,0.000270802
32,402.159,1.60453,1.6688,1.04735,0.60687,0.50866,0.58028,0.27484,1.5759,1.70866,1.0665,0.000257595,0.000257595,0.000257595
33,414.019,1.67546,1.83033,1.09201,0.64832,0.56171,0.57693,0.30059,1.50576,1.71535,1.04374,0.000244389,0.000244389,0.000244389
34,425.917,1.5826,1.73403,1.0703,0.65701,0.53923,0.57402,0.30071,1.48202,1.73669,1.03903,0.000231182,0.000231182,0.000231182
35,438.208,1.65035,1.83093,1.06353,0.6577,0.53813,0.5689,0.30013,1.46941,1.70021,1.03824,0.000217976,0.000217976,0.000217976
36,451.396,1.60963,1.71342,1.05829,0.65045,0.48215,0.51811,0.27737,1.48327,1.61168,1.04652,0.000204769,0.000204769,0.000204769
37,463.475,1.62987,1.66639,1.05432,0.64957,0.48215,0.51754,0.27737,1.48043,1.59669,1.05184,0.000191562,0.000191562,0.000191562
38,475.056,1.58699,1.65697,1.04992,0.42659,0.5175,0.52369,0.27723,1.46833,1.57334,1.0462,0.000178356,0.000178356,0.000178356
39,487.096,1.60807,1.71427,1.05954,0.64052,0.47156,0.53296,0.27948,1.46098,1.55814,1.03542,0.000165149,0.000165149,0.000165149
40,499.206,1.48408,1.56904,1.02105,0.8321,0.48547,0.56871,0.27624,1.4603,1.53407,1.02682,0.000151943,0.000151943,0.000151943
41,511.232,1.58459,1.81184,1.07208,0.47555,0.54644,0.57074,0.28142,1.44179,1.53161,1.02335,0.000138736,0.000138736,0.000138736
42,522.947,1.44923,1.76298,1.04403,0.47501,0.53574,0.573,0.28454,1.4363,1.54744,1.0221,0.000125529,0.000125529,0.000125529
43,534.857,1.51191,1.81898,1.04693,0.7371,0.50971,0.58193,0.30156,1.42151,1.5676,1.0179,0.000112323,0.000112323,0.000112323
44,547.051,1.50276,1.75639,1.04916,0.74347,0.50631,0.59085,0.30229,1.40912,1.55447,1.01745,9.91162e-05,9.91162e-05,9.91162e-05
45,558.866,1.47992,1.74954,1.04738,0.75105,0.50258,0.59323,0.29512,1.40644,1.53169,1.01731,8.59096e-05,8.59096e-05,8.59096e-05
46,570.628,1.4692,1.76285,1.02951,0.70091,0.52789,0.59557,0.29776,1.40579,1.5088,1.02095,7.2703e-05,7.2703e-05,7.2703e-05
47,582.565,1.49652,1.66151,1.03922,0.70963,0.52906,0.5934,0.29901,1.40787,1.49643,1.02273,5.94964e-05,5.94964e-05,5.94964e-05
48,594.885,1.39052,1.64697,1.02854,0.72424,0.52661,0.59419,0.30375,1.41174,1.47197,1.02783,4.62898e-05,4.62898e-05,4.62898e-05
49,606.659,1.51707,1.68326,1.05948,0.73585,0.54248,0.60077,0.30657,1.41483,1.46116,1.03136,3.30832e-05,3.30832e-05,3.30832e-05
50,618.501,1.46629,1.71553,1.03133,0.7162,0.56303,0.60584,0.31054,1.41536,1.45498,1.03297,1.98766e-05,1.98766e-05,1.98766e-05
